"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID"
"1",100.456866666667,330.234744444444,8.22301338034916,8.502179515265e-05,0.120248158819067,-4.48110696697077,"SNRPE","small nuclear ribonucleoprotein polypeptide E","6635"
"2",1255.34633333333,4168.22911111111,10.7828241479462,1.4910565725685e-05,0.0641466092578721,-4.47569195038491,"LCP1","lymphocyte cytosolic protein 1","3936"
"3",125.025166666667,1050.20716666667,8.0603057511986,9.64164357368237e-05,0.1212811190619,-4.48161206762572,"RILPL2","Rab interacting lysosomal protein like 2","196383"
"4",270.688666666666,1958.31433333333,7.65176391133451,0.000133486185198868,0.132932697504681,-4.48300514166211,"FAM200B","family with sequence similarity 200 member B","285550"
"5",1316.82766666667,1763.1065,8.3133631725199,7.93577406527886e-05,0.120248158819067,-4.4808376382054,"PTGS2","prostaglandin-endoperoxide synthase 2","5743"
"6",543.843233333334,945.504366666667,7.79428738284499,0.000118975546015997,0.132932697504681,-4.48249764045947,"FGB","fibrinogen beta chain","2244"
"7",8430.66333333333,27680.2766666667,9.83275218107541,2.71428415329537e-05,0.0856320459909312,-4.47726081770588,"FTH1","ferritin heavy chain 1","2495"
"8",210.836,1284.14866666667,8.53763576743567,6.70556484463016e-05,0.120248158819067,-4.48020134131481,"KLHL35","kelch like family member 35","283212"
"9",266.3332,957.1902,7.866471859854,0.000112313049954281,0.132874761574661,-4.48224963796493,"SLC39A8","solute carrier family 39 member 8","64116"
"10",244.153633333333,818.598433333333,8.16448263729196,8.89353075389839e-05,0.120248158819067,-4.48128563271431,"PLA2G7","phospholipase A2 group VII","7941"
"11",1222.409,4333.28333333333,9.18883818121849,4.19697801545039e-05,0.09863297518029,-4.47858350550914,"UQCRBP1","ubiquinol-cytochrome c reductase binding protein pseudogene 1","442454"
"12",212.147333333333,1155.97908888889,9.56245104759682,3.24899562792203e-05,0.0960951375625963,-4.47778666679733,"THSD7B","thrombospondin type 1 domain containing 7B","80731"
"13",281.756,1446.93922222222,8.27649881737597,8.16154942033164e-05,0.120248158819067,-4.48094659598442,"XKR6","XK related 6","286046"
"14",1817.66233333334,8592.35288888889,8.19633094325394,8.67811285149086e-05,0.120248158819067,-4.48118800043384,"GSTK1","glutathione S-transferase kappa 1","373156"
"15",143.208333333333,399.871155555556,8.0474537524326,9.73877929199794e-05,0.1212811190619,-4.48165310556439,"SNAP91","synaptosome associated protein 91","9892"
"16",470.537333333333,2099.71733333333,7.51495809912964,0.000149323789577938,0.140086579121019,-4.48351570125301,"EXOSC4","exosome component 4","54512"
"17",193.214533333334,938.1729,9.97417016392922,2.47485171351878e-05,0.0836552911706067,-4.47700108400712,"ZMAT5","zinc finger matrin-type 5","55954"
"18",885.490666666666,2884.985,9.31944705169859,3.83377507741996e-05,0.09863297518029,-4.4782951110689,"SAT2","spermidine/spermine N1-acetyltransferase family member 2","112483"
"19",5940.01000000001,14053.5522222222,20.5394428582786,2.02557177729755e-07,0.00958561332170518,-4.4697741842137,"TSC22D3","TSC22 domain family member 3","1831"
"20",1050.41533333333,4219.93211111111,9.32465815617527,3.82004234527706e-05,0.09863297518029,-4.47828383034926,"PRKAG1","protein kinase AMP-activated non-catalytic subunit gamma 1","5571"
"21",209.243333333333,1175.92811111111,8.43131273829173,7.25957498168676e-05,0.120248158819067,-4.48049742459966,"CALCOCO2","calcium binding and coiled-coil domain 2","10241"
"22",1499.70133333333,2573.94322222222,10.9004683471924,1.38906610524997e-05,0.0641466092578721,-4.47552357277674,NA,NA,NA
"23",4496.92,20834.7377777778,8.88448810670596,5.20534908975581e-05,0.111969424988415,-4.47930020893943,"RRAGA","Ras related GTP binding A","10670"
"24",5245.02666666666,37224.8888888889,7.66815927982565,0.000131718999381811,0.132932697504681,-4.48294552102483,"TMEM258","transmembrane protein 258","746"
"25",1110.035,5139.71433333333,7.63941961330502,0.000134834424703098,0.132932697504681,-4.48305024824283,"CPS1","carbamoyl-phosphate synthase 1","1373"
"26",2949.12666666667,14163.9766666667,8.04791025414369,9.73531011786704e-05,0.1212811190619,-4.48165164497015,"TAX1BP1","Tax1 binding protein 1","8887"
"27",401.1881,1104.50984444444,13.1658334700891,4.00522431749381e-06,0.0473848075941899,-4.47306379024642,"CCT8","chaperonin containing TCP1 subunit 8","10694"
"28",678.855333333335,3284.00888888889,7.68839146703614,0.000129574622384626,0.132932697504681,-4.48287239897733,"TMEM147","transmembrane protein 147","10430"
"29",744.381,3678.03544444444,10.8510664925041,1.43089531020867e-05,0.0641466092578721,-4.47559366197917,"FSCN1","fascin actin-bundling protein 1","6624"
"30",252.386,1201.49533333333,10.5267523990118,1.74394144878075e-05,0.0687737843172095,-4.4760766174111,"IFT57","intraflagellar transport 57","55081"
"31",837.614000000001,2762.89377777778,7.612951489479,0.000137777495176457,0.133062130698683,-4.48314759832699,"MTRNR2L1","MT-RNR2 like 1 (pseudogene)","100462977"
"32",104.749133333333,583.321422222222,7.70366858279299,0.000127981578418913,0.132932697504681,-4.48281751293133,"PJVK","pejvakin","494513"
"33",3677.585,5037.34955555556,7.82601517431672,0.000115993539437103,0.132932697504681,-4.48238790416118,"PTGS2","prostaglandin-endoperoxide synthase 2","5743"
"34",504.088,2092.28566666667,8.54702369181507,6.65899649801963e-05,0.120248158819067,-4.48017566599713,"WBP1","WW domain binding protein 1","23559"
"35",504.088,2092.28566666667,8.54702369181507,6.65899649801963e-05,0.120248158819067,-4.48017566599713,"INO80B-WBP1","INO80B-WBP1 readthrough (NMD candidate)","100532735"
"36",793.953333333332,3500.161,12.3136650736759,6.2367684243229e-06,0.0532298810171947,-4.47384082024105,"ELOVL6","ELOVL fatty acid elongase 6","79071"
"37",885.823666666667,2540.02222222222,10.2585228323194,2.06257869409565e-05,0.075082624262068,-4.47650826566162,"RAB32","RAB32, member RAS oncogene family","10981"
"38",235.035333333334,1434.33677777778,7.77460689511973,0.000120868819577871,0.132932697504681,-4.48256629176494,"HMGCL","3-hydroxy-3-methylglutaryl-CoA lyase","3155"
"39",697.125666666667,3121.09222222222,8.48776776388765,6.95920790702897e-05,0.120248158819067,-4.48033898955068,"DIABLO","diablo IAP-binding mitochondrial protein","56616"
"40",258.470333333334,862.873933333333,9.12880157283371,4.37692555160512e-05,0.09863297518029,-4.47871981378443,"ALDH3B2","aldehyde dehydrogenase 3 family member B2","222"
"41",3201.775,6808.19733333333,7.98410276183258,0.000102340757381526,0.124181324655537,-4.48185791530538,"TSC22D3","TSC22 domain family member 3","1831"
"42",161.590066666667,700.1843,8.2370520490482,8.4112385972549e-05,0.120248158819067,-4.48106460851569,"STAP2","signal transducing adaptor family member 2","55620"
"43",1187.56833333333,4823.23444444444,15.0420586240214,1.64896067828795e-06,0.0260112553928735,-4.47177583074052,"DMKN","dermokine","93099"
"44",548.373333333334,2827.139,15.8721512859347,1.15082795837014e-06,0.0260112553928735,-4.47134087573255,"PRKAG1","protein kinase AMP-activated non-catalytic subunit gamma 1","5571"
"45",470.817000000001,2627.87411111111,11.544363392705,9.5379285577023e-06,0.0632400308954818,-4.47468526924246,"TMEM179B","transmembrane protein 179B","374395"
"46",745.852333333333,3594.89777777778,12.1672754669641,6.74892306284826e-06,0.0532298810171947,-4.47398999672966,"UQCC5","ubiquinol-cytochrome c reductase complex assembly factor 5","440957"
"47",197.029666666667,1211.01888888889,9.16804022310244,4.25834741802291e-05,0.09863297518029,-4.47863045360702,"ZNF583","zinc finger protein 583","147949"
"48",4443.68333333336,67497.7122222222,8.55353955597166,6.62689042989382e-05,0.120248158819067,-4.48015788945913,"EPCAM","epithelial cell adhesion molecule","4072"
"49",345.986066666667,1094.53142222222,8.34165160981366,7.76731634606285e-05,0.120248158819067,-4.48075488616873,"REPS2","RALBP1 associated Eps domain containing 2","9185"
"50",629.549333333333,2116.03544444444,8.56648057000134,6.56364434698078e-05,0.120248158819067,-4.48012269011801,"RPS27","ribosomal protein S27","6232"
"51",1069.91233333333,2171.05344444444,11.3453650005104,1.06907898308192e-05,0.0632400308954818,-4.4749302174517,"RPL7","ribosomal protein L7","6129"
