"","logFC","AveExpr","t","P.Value","adj.P.Val","B","SYMBOL","GENENAME","ENTREZID"
"ILMN_1658502",95.0020333333334,284.0704,9.8581062471165,2.66948533791023e-05,0.0253479423745312,-4.47721350147355,"SCAND2P","SCAN domain containing 2 pseudogene","54581"
"ILMN_1660718",-510.897433333333,578.986144444444,-14.9131673310979,1.74660658083906e-06,0.0105339317991833,-4.47184969471079,"GABBR2","gamma-aminobutyric acid type B receptor subunit 2","9568"
"ILMN_1666635",10492.11,48215.2033333333,11.7331960887216,8.57326137456797e-06,0.0173065480029828,-4.47446352057282,"RPS14","ribosomal protein S14","6208"
"ILMN_1667430",-3344.122,6290.05033333333,-12.040064686175,7.23317495685511e-06,0.0159105819759232,-4.47412380116339,"DEGS1","delta 4-desaturase, sphingolipid 1","8560"
"ILMN_1677511",2232.56183333333,1763.1065,14.0945529892979,2.54573300542982e-06,0.0105339317991833,-4.47236496479279,"PTGS2","prostaglandin-endoperoxide synthase 2","5743"
"ILMN_1684255",-881.668,643.969311111111,-13.5262032798603,3.3477922633665e-06,0.0105339317991833,-4.47277633700822,"MYL4","myosin light chain 4","4635"
"ILMN_1687978",5181.17666666667,15218.6988888889,11.5497985751455,9.50848948878035e-06,0.0173065480029828,-4.47467874432879,"PHLDA1","pleckstrin homology like domain family A member 1","22822"
"ILMN_1693471",254.472,1284.14866666667,10.3046408061759,2.00336383856943e-05,0.0237381095359896,-4.47643184189106,"KLHL35","kelch like family member 35","283212"
"ILMN_1705813",231.010966666667,607.8499,11.5721451173542,9.38853458153242e-06,0.0173065480029828,-4.47465200754054,"CFTR","CF transmembrane conductance regulator","1080"
"ILMN_1713873",300.4954,1155.97908888889,13.5447026713889,3.31752126609049e-06,0.0105339317991833,-4.47276216649849,"THSD7B","thrombospondin type 1 domain containing 7B","80731"
"ILMN_1716815",2208.425,4583.96533333333,11.4506085061309,1.00624464011398e-05,0.0176364870755978,-4.47479918938417,"CEACAM1","CEA cell adhesion molecule 1","634"
"ILMN_1719759",-1007.3231,831.463811111111,-10.1452009512431,2.21672947028425e-05,0.0237381095359896,-4.47670012650386,"TNC","tenascin C","3371"
"ILMN_1723481",-957.885333333333,2445.56377777778,-15.693815220705,1.24137194971062e-06,0.00979090746269263,-4.4714287448188,"CHST3","carbohydrate sulfotransferase 3","9469"
"ILMN_1724762",347.705333333333,1446.93922222222,10.213740896835,2.12199015210727e-05,0.0237381095359896,-4.47658338528287,"XKR6","XK related 6","286046"
"ILMN_1731206",854.297333333333,2311.99911111111,10.1210429193493,2.25126145549647e-05,0.0237381095359896,-4.47674179206593,"NKD2","NKD inhibitor of WNT signaling pathway 2","85409"
"ILMN_1734496",-424.636466666667,367.3264,-11.0782038536439,1.24967960073905e-05,0.0184808086705545,-4.47527855960078,"ARID1A","AT-rich interaction domain 1A","8289"
"ILMN_1735156",-1698.55633333333,1946.11455555556,-20.0711222664018,2.36769413157422e-07,0.0037348796462829,-4.46988495066232,"SLC4A11","solute carrier family 4 member 11","83959"
"ILMN_1737517",424.1562,1122.17704444444,13.628989250239,3.18349499776297e-06,0.0105339317991833,-4.47269829644838,"RPL29","ribosomal protein L29","6159"
"ILMN_1740960",405.788766666667,1185.15874444444,10.1168721935742,2.25728489132035e-05,0.0237381095359896,-4.47674901300412,"MACROD1","mono-ADP ribosylhydrolase 1","28992"
"ILMN_1747172",137.519733333333,539.442233333333,10.2015354800935,2.13851874972129e-05,0.0237381095359896,-4.47660401664554,"ZNF670","zinc finger protein 670","93474"
"ILMN_1752755",-155.070666666667,293.318622222222,-11.3396399549719,1.07262315043503e-05,0.0181284804814417,-4.47493744273457,"VWF","von Willebrand factor","7450"
"ILMN_1753584",-12989.92,40021.5722222222,-10.2210422584507,2.1121721046068e-05,0.0237381095359896,-4.47657107582345,"KRT8","keratin 8","3856"
"ILMN_1755173",988.714666666667,1944.02388888889,12.5198441242302,5.58880369922021e-06,0.0148261521098487,-4.47363901934126,"PLEKHA4","pleckstrin homology domain containing A4","57664"
